1	41
2	41
3	42
4	46
5	43
6	42
7	42
8	42
9	44
10	44
11	42
12	38
13	35
14	33
15	33
16	33
17	32
18	32
19	33
20	34
21	35
22	38
23	39
24	39
25	41
26	42
27	42
28	46
29	44
30	43
31	43
32	43
33	44
34	44
35	42
36	38
37	34
38	32
39	32
40	32
41	32
42	32
43	34
44	34
45	35
46	38
47	39
48	40
49	40
50	41
51	41
52	45
53	43
54	41
55	41
56	41
57	43
58	43
59	40
60	36
61	33
62	31
63	31
64	31
65	31
66	32
67	33
68	33
69	34
70	37
71	39
72	39
73	39
74	39
75	39
76	43
77	41
78	40
79	40
80	40
81	41
82	41
83	39
84	35
85	32
86	30
87	29
88	29
89	31
90	31
91	32
92	32
93	34
94	37
95	38
96	38
97	38
98	38
99	38
100	42
101	40
102	39
103	39
104	39
105	41
106	41
107	38
108	35
109	31
110	29
111	29
112	29
113	29
114	30
115	31
116	31
117	32
118	35
119	36
120	37
121	36
122	37
123	37
124	41
125	38
126	37
127	37
128	37
129	39
130	39
131	37
132	33
133	30
134	28
135	27
136	27
137	27
138	30
139	31
140	31
141	31
142	34
143	35
144	35
145	36
146	37
147	38
148	41
149	39
150	38
151	38
152	38
153	40
154	40
155	38
156	33
157	30
158	28
159	27
160	27
161	27
162	26
163	27
164	27
165	29
166	32
167	34
168	35
169	37
170	38
171	39
172	42
173	41
174	39
175	39
176	39
177	41
178	41
179	39
180	34
181	30
182	28
183	28
184	28
185	27
186	27
187	27
188	28
189	29
190	33
191	35
192	36
193	38
194	39
195	40
196	43
197	41
198	40
199	40
200	40
201	41
202	41
203	39
204	33
205	30
206	27
207	27
208	27
209	27
210	27
211	28
212	28
213	30
214	34
215	35
216	36
217	36
218	38
219	39
220	42
221	40
222	39
223	39
224	39
225	40
226	40
227	38
228	34
229	30
230	28
231	27
232	27
233	28
234	27
235	27
236	27
237	29
238	33
239	34
240	35
241	37
242	38
243	39
244	42
245	40
246	39
247	38
248	38
249	40
250	40
251	38
252	33
253	30
254	28
255	27
256	27
257	28
258	27
259	27
260	28
261	29
262	33
263	35
264	36
265	36
266	37
267	37
268	41
269	39
270	38
271	38
272	37
273	39
274	40
275	37
276	33
277	29
278	27
279	27
280	27
281	28
282	27
283	28
284	28
285	29
286	32
287	34
288	34
289	35
290	36
291	37
292	40
293	39
294	37
295	37
296	37
297	39
298	39
299	37
300	33
301	29
302	27
303	26
304	27
305	27
306	27
307	28
308	28
309	29
310	32
311	33
312	34
